gamification_id,user_id,xp_points,coins,level,badges_count,current_streak_days,leaderboard_rank_global,mission_completed_count,challenge_win_rate,last_reward_date
GAM0003131,USR003131,11894,8126,24,48,325,3131,65,0.317,2026-05-03
GAM0003132,USR003132,5454,3439,11,78,28,3132,49,0.362,2026-05-06
GAM0003133,USR003133,4102,1002,9,42,257,3133,136,0.051,2026-03-15
GAM0003134,USR003134,15630,2682,32,65,346,3134,24,0.439,2026-05-11
GAM0003135,USR003135,1315,8658,3,72,155,3135,5,0.767,2026-05-10
GAM0003136,USR003136,12059,4916,25,73,297,3136,67,0.431,2026-05-05
GAM0003137,USR003137,1170,987,3,34,223,3137,37,0.204,2026-04-15
GAM0003138,USR003138,4473,8037,9,44,124,3138,181,0.166,2026-04-05
GAM0003139,USR003139,16592,1016,34,10,354,3139,0,0.574,2026-04-24
GAM0003140,USR003140,15214,7085,31,33,207,3140,153,0.405,2026-04-29
GAM0003141,USR003141,19016,76,39,2,26,3141,192,0.325,2026-04-01
GAM0003142,USR003142,15572,1689,32,12,345,3142,135,0.437,2026-05-05
GAM0003143,USR003143,10162,7302,21,11,230,3143,67,0.772,2026-04-02
GAM0003144,USR003144,2947,4998,6,40,97,3144,75,0.81,2026-04-28
GAM0003145,USR003145,8369,7606,17,19,109,3145,73,0.872,2026-03-14
GAM0003146,USR003146,19402,1148,39,38,147,3146,136,0.554,2026-04-16
GAM0003147,USR003147,3012,3024,7,39,163,3147,23,0.27,2026-04-26
GAM0003148,USR003148,22120,1413,45,22,225,3148,71,0.473,2026-04-28
GAM0003149,USR003149,10943,6310,22,74,115,3149,56,0.531,2026-05-01
GAM0003150,USR003150,16473,5027,33,72,48,3150,62,0.153,2026-04-24
GAM0003151,USR003151,1815,2160,4,65,136,3151,80,0.098,2026-04-28
GAM0003152,USR003152,5172,2284,11,49,256,3152,18,0.102,2026-04-29
GAM0003153,USR003153,22270,3887,45,76,124,3153,195,0.146,2026-04-12
GAM0003154,USR003154,418,1751,1,29,314,3154,95,0.856,2026-04-21
GAM0003155,USR003155,24290,2048,49,21,284,3155,41,0.205,2026-03-15
GAM0003156,USR003156,24602,7898,50,48,44,3156,41,0.934,2026-04-08
GAM0003157,USR003157,8677,8336,18,77,117,3157,99,0.643,2026-05-11
GAM0003158,USR003158,6356,4338,13,33,223,3158,66,0.63,2026-04-15
GAM0003159,USR003159,17830,8922,36,23,274,3159,7,0.566,2026-05-12
GAM0003160,USR003160,5544,9750,12,31,1,3160,40,0.498,2026-04-13
GAM0003161,USR003161,16853,9622,34,4,296,3161,131,0.477,2026-05-01
GAM0003162,USR003162,17032,3431,35,55,62,3162,187,0.49,2026-03-15
GAM0003163,USR003163,10529,4994,22,59,261,3163,183,0.088,2026-03-15
GAM0003164,USR003164,8627,4189,18,21,277,3164,79,0.871,2026-04-07
GAM0003165,USR003165,14242,8042,29,36,211,3165,194,0.819,2026-04-22
GAM0003166,USR003166,8961,2872,18,67,32,3166,160,0.307,2026-05-13
GAM0003167,USR003167,11282,8607,23,31,84,3167,3,0.37,2026-05-10
GAM0003168,USR003168,12908,9457,26,72,296,3168,79,0.653,2026-04-28
GAM0003169,USR003169,13890,3109,28,62,255,3169,187,0.348,2026-04-29
GAM0003170,USR003170,13723,8968,28,72,80,3170,184,0.693,2026-03-29
GAM0003171,USR003171,1927,1101,4,80,163,3171,40,0.185,2026-04-06
GAM0003172,USR003172,18852,7250,38,44,332,3172,43,0.2,2026-04-07
GAM0003173,USR003173,11120,6677,23,27,175,3173,141,0.186,2026-05-04
GAM0003174,USR003174,19358,4819,39,74,118,3174,52,0.614,2026-03-18
GAM0003175,USR003175,21776,1780,44,37,42,3175,168,0.952,2026-04-27
GAM0003176,USR003176,17480,6734,35,71,256,3176,47,0.29,2026-03-14
GAM0003177,USR003177,11655,2783,24,77,163,3177,176,0.134,2026-04-26
GAM0003178,USR003178,16909,6125,34,53,222,3178,159,0.366,2026-04-21
GAM0003179,USR003179,21530,6165,44,14,3,3179,68,0.935,2026-04-23
GAM0003180,USR003180,18622,9481,38,47,75,3180,138,0.053,2026-05-05
GAM0003181,USR003181,23758,3549,48,23,151,3181,100,0.57,2026-03-23
GAM0003182,USR003182,23602,4799,48,67,128,3182,114,0.856,2026-04-13
GAM0003183,USR003183,17778,1787,36,45,53,3183,6,0.706,2026-05-08
GAM0003184,USR003184,21424,510,43,61,329,3184,172,0.89,2026-04-10
GAM0003185,USR003185,11286,3555,23,40,231,3185,199,0.216,2026-03-19
GAM0003186,USR003186,4881,1870,10,61,6,3186,199,0.508,2026-03-21
GAM0003187,USR003187,8198,5206,17,59,193,3187,150,0.672,2026-05-12
GAM0003188,USR003188,24365,3718,49,16,215,3188,173,0.079,2026-04-30
GAM0003189,USR003189,4085,8333,9,35,338,3189,60,0.704,2026-04-13
GAM0003190,USR003190,7758,6501,16,55,330,3190,67,0.973,2026-04-19
GAM0003191,USR003191,11867,1661,24,22,17,3191,112,0.539,2026-05-13
GAM0003192,USR003192,4815,178,10,64,205,3192,159,0.426,2026-04-09
GAM0003193,USR003193,9298,7433,19,78,23,3193,132,0.413,2026-05-06
GAM0003194,USR003194,7793,6930,16,49,98,3194,138,0.881,2026-04-05
GAM0003195,USR003195,5553,8228,12,13,23,3195,180,0.783,2026-05-12
GAM0003196,USR003196,22929,2475,46,19,294,3196,23,0.868,2026-05-04
GAM0003197,USR003197,13854,2614,28,20,85,3197,71,0.815,2026-04-29
GAM0003198,USR003198,8842,7717,18,61,217,3198,61,0.508,2026-04-24
GAM0003199,USR003199,19597,746,40,61,333,3199,198,0.283,2026-04-08
GAM0003200,USR003200,3418,1444,7,54,282,3200,153,0.018,2026-04-20
GAM0003201,USR003201,2502,823,6,2,141,3201,106,0.438,2026-04-01
GAM0003202,USR003202,14250,9214,29,0,306,3202,16,0.276,2026-04-06
GAM0003203,USR003203,14621,7370,30,60,22,3203,79,0.647,2026-03-18
GAM0003204,USR003204,24869,5058,50,60,32,3204,199,0.065,2026-03-22
GAM0003205,USR003205,14264,8890,29,21,169,3205,103,0.68,2026-04-20
GAM0003206,USR003206,11483,3880,23,9,188,3206,163,0.566,2026-04-22
GAM0003207,USR003207,12871,660,26,28,67,3207,149,0.14,2026-04-22
GAM0003208,USR003208,18967,4777,38,36,126,3208,152,0.513,2026-05-11
GAM0003209,USR003209,20833,1569,42,34,270,3209,130,0.595,2026-04-15
GAM0003210,USR003210,8784,2540,18,22,208,3210,152,0.828,2026-03-24
GAM0003211,USR003211,24497,3275,49,39,61,3211,109,0.414,2026-04-16
GAM0003212,USR003212,7883,5122,16,21,351,3212,20,0.404,2026-03-26
GAM0003213,USR003213,2267,2974,5,57,43,3213,78,0.091,2026-03-21
GAM0003214,USR003214,11282,904,23,75,255,3214,104,0.359,2026-03-19
GAM0003215,USR003215,12026,902,25,73,226,3215,102,0.247,2026-04-07
GAM0003216,USR003216,23763,5530,48,21,232,3216,56,0.835,2026-03-30
GAM0003217,USR003217,21509,9239,44,28,296,3217,50,0.314,2026-04-12
GAM0003218,USR003218,1294,7298,3,47,68,3218,11,0.46,2026-04-11
GAM0003219,USR003219,5144,3471,11,60,183,3219,74,0.07,2026-04-05
GAM0003220,USR003220,11180,3411,23,1,100,3220,61,0.035,2026-03-15
GAM0003221,USR003221,19873,8262,40,57,121,3221,55,0.736,2026-04-25
GAM0003222,USR003222,19189,7271,39,74,67,3222,11,0.575,2026-04-11
GAM0003223,USR003223,22458,457,45,25,219,3223,113,0.064,2026-04-01
GAM0003224,USR003224,481,3781,1,76,330,3224,152,0.217,2026-04-12
GAM0003225,USR003225,3444,9350,7,19,265,3225,96,0.486,2026-04-22
GAM0003226,USR003226,187,3073,1,28,15,3226,69,0.282,2026-05-03
GAM0003227,USR003227,14398,4505,29,44,160,3227,96,0.782,2026-03-28
GAM0003228,USR003228,24132,3857,49,63,89,3228,28,0.976,2026-05-05
GAM0003229,USR003229,4280,8358,9,31,224,3229,71,0.452,2026-04-02
GAM0003230,USR003230,20997,807,42,39,333,3230,171,0.283,2026-04-07
GAM0003231,USR003231,9670,4475,20,75,51,3231,86,0.329,2026-03-31
GAM0003232,USR003232,12820,7744,26,37,25,3232,6,0.812,2026-03-16
GAM0003233,USR003233,2582,8444,6,62,304,3233,40,0.399,2026-04-18
GAM0003234,USR003234,3052,3982,7,23,102,3234,66,0.128,2026-04-19
GAM0003235,USR003235,5796,7293,12,18,324,3235,176,0.072,2026-05-04
GAM0003236,USR003236,17740,6395,36,24,82,3236,159,0.54,2026-05-06
GAM0003237,USR003237,15381,1674,31,0,106,3237,63,0.823,2026-04-20
GAM0003238,USR003238,10263,3409,21,73,169,3238,98,0.851,2026-03-20
GAM0003239,USR003239,1225,2011,3,69,362,3239,110,0.034,2026-05-11
GAM0003240,USR003240,5049,694,11,23,311,3240,143,0.391,2026-04-07
GAM0003241,USR003241,11853,5216,24,28,157,3241,161,0.264,2026-05-02
GAM0003242,USR003242,18775,5583,38,45,83,3242,169,0.38,2026-03-20
GAM0003243,USR003243,19618,7692,40,9,81,3243,66,0.834,2026-05-10
GAM0003244,USR003244,2028,6840,5,17,137,3244,34,0.443,2026-03-14
GAM0003245,USR003245,12525,4766,26,52,58,3245,105,0.094,2026-04-29
GAM0003246,USR003246,11412,8698,23,11,259,3246,47,0.509,2026-04-09
GAM0003247,USR003247,21986,6509,44,35,123,3247,90,0.317,2026-04-21
GAM0003248,USR003248,6423,1531,13,40,168,3248,155,0.138,2026-03-24
GAM0003249,USR003249,11310,5266,23,11,275,3249,140,0.048,2026-05-03
GAM0003250,USR003250,651,7744,2,57,220,3250,31,0.79,2026-04-28
GAM0003251,USR003251,16627,3857,34,23,339,3251,47,0.644,2026-04-04
GAM0003252,USR003252,20621,6483,42,9,248,3252,13,0.859,2026-04-10
GAM0003253,USR003253,19136,4097,39,45,227,3253,187,0.28,2026-04-06
GAM0003254,USR003254,17853,1288,36,21,240,3254,188,0.713,2026-04-06
GAM0003255,USR003255,10284,3710,21,0,190,3255,67,0.894,2026-04-19
GAM0003256,USR003256,13101,7594,27,30,269,3256,124,0.048,2026-04-28
GAM0003257,USR003257,3924,9401,8,62,101,3257,140,0.488,2026-04-10
GAM0003258,USR003258,3432,6961,7,47,31,3258,200,0.764,2026-05-10
GAM0003259,USR003259,8730,3187,18,33,106,3259,68,0.68,2026-04-25
GAM0003260,USR003260,21065,5119,43,16,154,3260,153,0.347,2026-05-03
GAM0003261,USR003261,6258,8379,13,10,292,3261,113,0.47,2026-04-09
GAM0003262,USR003262,20450,1309,41,22,136,3262,20,0.25,2026-03-15
GAM0003263,USR003263,23955,2578,48,8,156,3263,137,0.539,2026-05-11
GAM0003264,USR003264,16695,2818,34,66,119,3264,138,0.69,2026-03-15
GAM0003265,USR003265,7756,864,16,72,297,3265,60,0.198,2026-04-26
GAM0003266,USR003266,19938,2906,40,23,298,3266,161,0.882,2026-03-30
GAM0003267,USR003267,3802,6076,8,69,295,3267,184,0.543,2026-05-10
GAM0003268,USR003268,19412,3630,39,22,43,3268,87,0.055,2026-03-17
GAM0003269,USR003269,8109,9277,17,12,343,3269,121,0.479,2026-04-10
GAM0003270,USR003270,20621,4979,42,65,263,3270,162,0.962,2026-04-15
GAM0003271,USR003271,11729,14,24,24,246,3271,132,0.966,2026-03-29
GAM0003272,USR003272,9573,5277,20,73,73,3272,25,0.306,2026-03-31
GAM0003273,USR003273,5909,5010,12,42,302,3273,147,0.152,2026-04-20
GAM0003274,USR003274,5819,4726,12,53,151,3274,30,0.538,2026-03-29
GAM0003275,USR003275,14091,475,29,78,215,3275,12,0.871,2026-04-09
GAM0003276,USR003276,15343,5407,31,61,129,3276,199,0.183,2026-03-19
GAM0003277,USR003277,4041,7627,9,7,287,3277,50,0.684,2026-04-13
GAM0003278,USR003278,14560,6090,30,12,356,3278,154,0.289,2026-03-22
GAM0003279,USR003279,22540,6603,46,65,252,3279,10,0.157,2026-03-15
GAM0003280,USR003280,21585,3213,44,5,289,3280,187,0.402,2026-05-11
GAM0003281,USR003281,11419,2029,23,42,57,3281,176,0.455,2026-03-15
GAM0003282,USR003282,18834,9062,38,77,321,3282,199,0.561,2026-04-08
GAM0003283,USR003283,18256,903,37,74,323,3283,167,0.446,2026-05-01
GAM0003284,USR003284,10089,204,21,25,155,3284,96,0.804,2026-05-07
GAM0003285,USR003285,11630,6152,24,21,302,3285,55,0.951,2026-04-17
GAM0003286,USR003286,34,8743,1,3,17,3286,186,0.954,2026-03-17
GAM0003287,USR003287,24918,370,50,62,205,3287,80,0.129,2026-03-16
GAM0003288,USR003288,19218,1143,39,7,169,3288,70,0.51,2026-04-14
GAM0003289,USR003289,12594,6654,26,62,242,3289,139,0.036,2026-03-17
GAM0003290,USR003290,15433,7795,31,63,91,3290,22,0.019,2026-05-12
GAM0003291,USR003291,1839,8718,4,55,309,3291,11,0.036,2026-05-09
GAM0003292,USR003292,14759,1979,30,74,342,3292,58,0.761,2026-05-03
GAM0003293,USR003293,17495,2183,35,28,85,3293,36,0.649,2026-03-25
GAM0003294,USR003294,20563,4910,42,63,20,3294,53,0.276,2026-04-06
GAM0003295,USR003295,6438,3170,13,65,225,3295,128,0.101,2026-05-08
GAM0003296,USR003296,3399,1773,7,63,229,3296,125,0.952,2026-04-13
GAM0003297,USR003297,10106,7894,21,36,186,3297,38,0.892,2026-04-16
GAM0003298,USR003298,5605,8571,12,73,177,3298,110,0.169,2026-05-08
GAM0003299,USR003299,17802,1730,36,25,333,3299,135,0.41,2026-05-11
GAM0003300,USR003300,19791,5500,40,38,57,3300,198,0.535,2026-03-20
GAM0003301,USR003301,10847,525,22,41,103,3301,22,0.06,2026-04-02
GAM0003302,USR003302,4639,8396,10,48,182,3302,45,0.852,2026-05-09
GAM0003303,USR003303,16166,743,33,72,2,3303,112,0.791,2026-05-05
GAM0003304,USR003304,9302,5006,19,79,47,3304,176,0.352,2026-03-16
GAM0003305,USR003305,17914,2068,36,6,223,3305,33,0.137,2026-05-04
GAM0003306,USR003306,8485,2372,17,3,33,3306,101,0.274,2026-04-30
GAM0003307,USR003307,14843,2030,30,78,108,3307,124,0.483,2026-04-17
GAM0003308,USR003308,23824,8027,48,64,52,3308,10,0.532,2026-04-29
GAM0003309,USR003309,3261,2453,7,76,338,3309,55,0.294,2026-03-26
GAM0003310,USR003310,1657,887,4,0,229,3310,164,0.337,2026-05-05
GAM0003311,USR003311,4120,3229,9,29,317,3311,12,0.735,2026-03-22
GAM0003312,USR003312,4813,8325,10,12,358,3312,49,0.276,2026-05-08
GAM0003313,USR003313,11208,7913,23,64,299,3313,175,0.107,2026-03-24
GAM0003314,USR003314,13126,320,27,65,173,3314,142,0.267,2026-03-20
GAM0003315,USR003315,24872,390,50,33,251,3315,33,0.52,2026-04-17
GAM0003316,USR003316,20845,809,42,35,157,3316,41,0.217,2026-05-02
GAM0003317,USR003317,12832,9313,26,61,67,3317,92,0.348,2026-04-20
GAM0003318,USR003318,11993,6265,24,59,337,3318,36,0.804,2026-03-29
GAM0003319,USR003319,5903,5590,12,7,209,3319,67,0.393,2026-04-08
GAM0003320,USR003320,12511,490,26,61,93,3320,65,0.152,2026-04-01
GAM0003321,USR003321,16987,959,34,77,137,3321,188,0.942,2026-04-11
GAM0003322,USR003322,15577,6592,32,34,61,3322,22,0.395,2026-04-20
GAM0003323,USR003323,9481,8268,19,6,250,3323,186,0.153,2026-03-20
GAM0003324,USR003324,4148,8603,9,0,186,3324,15,0.375,2026-05-10
GAM0003325,USR003325,8070,3299,17,45,363,3325,155,0.041,2026-03-25
GAM0003326,USR003326,15822,8332,32,12,307,3326,198,0.835,2026-04-07
GAM0003327,USR003327,10389,9071,21,64,38,3327,129,0.485,2026-03-16
GAM0003328,USR003328,12490,8095,25,65,110,3328,21,0.104,2026-04-24
GAM0003329,USR003329,18522,9855,38,40,141,3329,3,0.601,2026-03-19
GAM0003330,USR003330,18268,7784,37,17,12,3330,52,0.69,2026-04-20
GAM0003331,USR003331,24136,6800,49,43,364,3331,75,0.972,2026-04-11
GAM0003332,USR003332,9766,1941,20,62,242,3332,110,0.71,2026-03-28
GAM0003333,USR003333,13059,211,27,28,312,3333,96,0.077,2026-05-11
GAM0003334,USR003334,24685,7648,50,68,12,3334,105,0.9,2026-04-18
GAM0003335,USR003335,14976,5878,30,66,170,3335,164,0.528,2026-04-24
GAM0003336,USR003336,6436,5627,13,63,134,3336,143,0.361,2026-05-02
GAM0003337,USR003337,5239,6558,11,19,304,3337,127,0.953,2026-05-03
GAM0003338,USR003338,18438,7209,37,65,312,3338,64,0.325,2026-03-15
GAM0003339,USR003339,17085,1856,35,61,224,3339,73,0.67,2026-04-24
GAM0003340,USR003340,11515,9186,24,80,22,3340,79,0.25,2026-04-04
GAM0003341,USR003341,21180,7930,43,31,12,3341,70,0.879,2026-03-21
GAM0003342,USR003342,20830,4371,42,19,263,3342,167,0.32,2026-04-06
GAM0003343,USR003343,19002,4095,39,46,124,3343,8,0.586,2026-04-11
GAM0003344,USR003344,13286,3851,27,64,249,3344,42,0.365,2026-03-24
GAM0003345,USR003345,6125,5954,13,37,199,3345,155,0.909,2026-04-21
GAM0003346,USR003346,23368,7666,47,24,152,3346,52,0.61,2026-04-03
GAM0003347,USR003347,15709,455,32,13,161,3347,198,0.008,2026-05-02
GAM0003348,USR003348,11806,4402,24,65,149,3348,10,0.329,2026-03-14
GAM0003349,USR003349,8336,5087,17,42,136,3349,61,0.298,2026-04-28
GAM0003350,USR003350,18710,7645,38,17,310,3350,159,0.171,2026-04-22
GAM0003351,USR003351,3031,5720,7,51,27,3351,182,0.32,2026-04-21
GAM0003352,USR003352,5408,2479,11,59,328,3352,59,0.012,2026-04-06
GAM0003353,USR003353,17388,1639,35,68,65,3353,34,0.416,2026-04-15
GAM0003354,USR003354,21331,2526,43,67,140,3354,85,0.165,2026-03-30
GAM0003355,USR003355,14563,4865,30,59,320,3355,139,0.58,2026-04-26
GAM0003356,USR003356,8682,3794,18,33,152,3356,154,0.542,2026-04-22
GAM0003357,USR003357,16010,8506,33,53,113,3357,82,0.612,2026-03-28
GAM0003358,USR003358,16191,4140,33,59,159,3358,185,0.409,2026-04-17
GAM0003359,USR003359,9405,7930,19,31,263,3359,121,0.361,2026-05-11
GAM0003360,USR003360,7149,138,15,38,97,3360,47,0.694,2026-04-16
GAM0003361,USR003361,19660,5073,40,70,332,3361,112,0.537,2026-05-04
GAM0003362,USR003362,3438,5946,7,27,104,3362,9,0.834,2026-03-14
GAM0003363,USR003363,9754,3168,20,76,361,3363,138,0.235,2026-04-06
GAM0003364,USR003364,12202,8160,25,17,81,3364,9,0.844,2026-04-21
GAM0003365,USR003365,16694,3319,34,75,160,3365,45,0.862,2026-04-06
GAM0003366,USR003366,2850,710,6,11,118,3366,31,0.656,2026-03-31
GAM0003367,USR003367,18639,7281,38,40,319,3367,196,0.195,2026-04-10
GAM0003368,USR003368,9396,8831,19,76,251,3368,103,0.469,2026-03-15
GAM0003369,USR003369,4700,1528,10,64,159,3369,44,0.264,2026-03-26
GAM0003370,USR003370,23353,8328,47,56,151,3370,134,0.377,2026-04-21
GAM0003371,USR003371,11625,3208,24,48,332,3371,123,0.92,2026-04-11
GAM0003372,USR003372,13603,8221,28,58,347,3372,147,0.827,2026-04-26
GAM0003373,USR003373,18012,9002,37,79,256,3373,10,0.063,2026-04-06
GAM0003374,USR003374,8814,1499,18,33,148,3374,186,0.73,2026-03-16
GAM0003375,USR003375,12638,5735,26,69,57,3375,140,0.179,2026-04-30
GAM0003376,USR003376,21608,6727,44,11,141,3376,47,0.842,2026-05-11
GAM0003377,USR003377,3021,426,7,63,41,3377,185,0.363,2026-03-26
GAM0003378,USR003378,23232,4987,47,5,347,3378,9,0.544,2026-03-15
GAM0003379,USR003379,1363,1755,3,73,81,3379,66,0.04,2026-04-14
GAM0003380,USR003380,158,1576,1,30,63,3380,199,0.367,2026-04-04
GAM0003381,USR003381,23130,8118,47,21,242,3381,28,0.998,2026-05-02
GAM0003382,USR003382,1810,1954,4,75,188,3382,22,0.773,2026-04-10
GAM0003383,USR003383,3857,6350,8,23,20,3383,136,0.629,2026-03-24
GAM0003384,USR003384,1857,5202,4,36,295,3384,188,0.707,2026-05-11
GAM0003385,USR003385,20320,6702,41,78,82,3385,102,0.451,2026-05-05
GAM0003386,USR003386,7864,2494,16,51,134,3386,135,0.648,2026-04-03
GAM0003387,USR003387,8147,3655,17,64,242,3387,67,0.813,2026-04-23
GAM0003388,USR003388,13775,2965,28,43,149,3388,125,0.836,2026-04-29
GAM0003389,USR003389,10656,8720,22,2,166,3389,97,0.177,2026-04-27
GAM0003390,USR003390,8313,9261,17,44,222,3390,199,0.501,2026-05-08
GAM0003391,USR003391,1863,1615,4,76,329,3391,84,0.057,2026-03-24
GAM0003392,USR003392,15459,3585,31,44,300,3392,162,0.239,2026-04-19
GAM0003393,USR003393,11685,6464,24,10,87,3393,168,0.27,2026-04-22
GAM0003394,USR003394,6168,5189,13,16,109,3394,82,0.801,2026-05-11
GAM0003395,USR003395,84,4832,1,34,155,3395,118,0.977,2026-04-20
GAM0003396,USR003396,9705,5904,20,70,151,3396,18,0.014,2026-04-29
GAM0003397,USR003397,23505,3225,48,54,159,3397,83,0.13,2026-04-12
GAM0003398,USR003398,6799,3857,14,60,61,3398,159,0.206,2026-03-29
GAM0003399,USR003399,6770,1151,14,70,37,3399,102,0.355,2026-04-04
GAM0003400,USR003400,19619,1730,40,5,263,3400,116,0.868,2026-03-26
GAM0003401,USR003401,9956,3488,20,27,70,3401,39,0.382,2026-04-24
GAM0003402,USR003402,24130,6999,49,21,119,3402,112,0.015,2026-04-07
GAM0003403,USR003403,20041,2879,41,76,152,3403,47,0.041,2026-04-21
GAM0003404,USR003404,19729,1609,40,50,56,3404,41,0.683,2026-03-19
GAM0003405,USR003405,22144,1620,45,52,38,3405,95,0.496,2026-04-06
GAM0003406,USR003406,24878,3877,50,40,330,3406,104,0.051,2026-03-28
GAM0003407,USR003407,23842,4576,48,28,72,3407,7,0.433,2026-04-29
GAM0003408,USR003408,7434,7105,15,4,263,3408,155,0.495,2026-04-15
GAM0003409,USR003409,21976,7360,44,48,359,3409,33,0.905,2026-04-13
GAM0003410,USR003410,1658,6091,4,45,60,3410,58,0.757,2026-03-23
GAM0003411,USR003411,17369,2956,35,7,286,3411,181,0.135,2026-04-02
GAM0003412,USR003412,20721,1922,42,7,23,3412,159,0.219,2026-05-06
GAM0003413,USR003413,15187,7961,31,46,73,3413,198,0.668,2026-03-16
GAM0003414,USR003414,820,5846,2,21,136,3414,167,0.368,2026-03-14
GAM0003415,USR003415,4181,7147,9,36,315,3415,66,0.158,2026-03-31
GAM0003416,USR003416,22889,1253,46,46,199,3416,85,0.307,2026-04-22
GAM0003417,USR003417,16243,482,33,31,290,3417,101,0.609,2026-05-12
GAM0003418,USR003418,4545,4644,10,19,14,3418,190,0.655,2026-04-23
GAM0003419,USR003419,19386,7054,39,69,353,3419,57,0.288,2026-03-22
GAM0003420,USR003420,653,9830,2,63,119,3420,104,0.187,2026-05-12
GAM0003421,USR003421,4290,8194,9,57,80,3421,174,0.836,2026-03-16
GAM0003422,USR003422,10438,7180,21,80,135,3422,186,0.653,2026-04-17
GAM0003423,USR003423,21540,3395,44,3,350,3423,11,0.233,2026-05-04
GAM0003424,USR003424,13289,6056,27,24,104,3424,40,0.985,2026-03-17
GAM0003425,USR003425,22451,9726,45,47,85,3425,41,0.761,2026-04-10
GAM0003426,USR003426,784,1620,2,74,50,3426,195,0.035,2026-03-18
GAM0003427,USR003427,7963,9821,16,31,19,3427,10,0.054,2026-04-26
GAM0003428,USR003428,11848,6843,24,55,358,3428,41,0.917,2026-05-05
GAM0003429,USR003429,9557,6107,20,3,237,3429,133,0.003,2026-04-29
GAM0003430,USR003430,3605,4321,8,31,13,3430,114,0.863,2026-04-29
GAM0003431,USR003431,16964,5224,34,37,82,3431,99,0.105,2026-04-02
GAM0003432,USR003432,14945,2222,30,35,87,3432,110,0.326,2026-04-30
GAM0003433,USR003433,21186,1060,43,9,277,3433,41,0.788,2026-03-28
GAM0003434,USR003434,15640,7856,32,9,80,3434,67,0.669,2026-03-30
GAM0003435,USR003435,21029,4848,43,67,20,3435,79,0.681,2026-03-14
GAM0003436,USR003436,15081,4904,31,51,199,3436,156,0.849,2026-04-19
GAM0003437,USR003437,3400,4791,7,52,192,3437,64,0.559,2026-04-26
GAM0003438,USR003438,460,8131,1,21,361,3438,191,0.6,2026-04-14
GAM0003439,USR003439,14893,4901,30,68,270,3439,139,0.026,2026-04-16
GAM0003440,USR003440,16075,1512,33,71,233,3440,54,0.742,2026-04-11
GAM0003441,USR003441,18119,8920,37,43,151,3441,174,0.935,2026-04-16
GAM0003442,USR003442,15568,9939,32,47,156,3442,62,0.254,2026-04-20
GAM0003443,USR003443,13995,6795,28,5,50,3443,162,0.798,2026-04-20
GAM0003444,USR003444,13075,9838,27,48,317,3444,9,0.409,2026-04-12
GAM0003445,USR003445,12168,1949,25,58,52,3445,6,0.722,2026-04-14
GAM0003446,USR003446,19223,2185,39,59,281,3446,156,0.506,2026-04-18
GAM0003447,USR003447,10060,9491,21,45,100,3447,60,0.333,2026-04-11
GAM0003448,USR003448,11065,1514,23,73,341,3448,16,0.093,2026-03-26
GAM0003449,USR003449,19412,8092,39,71,81,3449,196,0.542,2026-05-11
GAM0003450,USR003450,23892,9197,48,71,5,3450,51,0.375,2026-04-28
GAM0003451,USR003451,22688,7386,46,77,64,3451,103,0.073,2026-04-21
GAM0003452,USR003452,5412,1307,11,31,107,3452,124,0.008,2026-04-23
GAM0003453,USR003453,19781,8737,40,44,172,3453,8,0.322,2026-03-30
GAM0003454,USR003454,18244,7993,37,6,131,3454,195,0.088,2026-03-20
GAM0003455,USR003455,1163,218,3,8,143,3455,116,0.422,2026-05-04
GAM0003456,USR003456,16402,2537,33,1,326,3456,82,0.891,2026-03-17
GAM0003457,USR003457,9056,5162,19,18,253,3457,142,0.41,2026-04-21
GAM0003458,USR003458,11195,2121,23,30,304,3458,155,0.016,2026-03-16
GAM0003459,USR003459,17580,305,36,75,180,3459,7,0.636,2026-05-02
GAM0003460,USR003460,18435,1685,37,16,116,3460,182,0.349,2026-05-01
GAM0003461,USR003461,1781,8861,4,46,309,3461,132,0.597,2026-04-16
GAM0003462,USR003462,8730,6477,18,48,102,3462,47,0.886,2026-04-11
GAM0003463,USR003463,7976,4055,16,6,0,3463,162,0.687,2026-03-30
GAM0003464,USR003464,23160,1126,47,25,185,3464,149,0.951,2026-03-18
GAM0003465,USR003465,3725,5683,8,13,43,3465,51,0.533,2026-05-04
GAM0003466,USR003466,24428,2683,49,35,180,3466,168,0.839,2026-05-10
GAM0003467,USR003467,2922,7714,6,36,352,3467,48,0.038,2026-04-04
GAM0003468,USR003468,24337,1410,49,66,332,3468,93,0.642,2026-04-19
GAM0003469,USR003469,6564,2490,14,2,13,3469,146,0.16,2026-03-27
GAM0003470,USR003470,5779,8051,12,35,364,3470,148,0.564,2026-03-14
GAM0003471,USR003471,14041,3038,29,30,89,3471,103,0.015,2026-04-21
GAM0003472,USR003472,656,7609,2,15,220,3472,96,0.252,2026-05-13
GAM0003473,USR003473,3251,8386,7,43,260,3473,6,0.703,2026-04-25
GAM0003474,USR003474,7737,1077,16,20,110,3474,80,0.527,2026-04-19
GAM0003475,USR003475,11234,133,23,69,249,3475,74,0.016,2026-04-26
GAM0003476,USR003476,8181,944,17,32,249,3476,158,0.479,2026-04-21
GAM0003477,USR003477,3054,5110,7,67,307,3477,98,0.301,2026-03-15
GAM0003478,USR003478,5023,4455,11,65,152,3478,106,0.655,2026-04-25
GAM0003479,USR003479,24601,990,50,23,18,3479,185,0.32,2026-04-25
