skill_id,skill_name,domain,skill_level,description,market_demand_score,ai_recommendation_weight
SKL00216,Digital Marketing Skill 216,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 216 for practical, enterprise-ready outcomes.",48,0.245
SKL00217,Quality Management Skill 217,Quality Management,Advanced,"Competency in Quality Management Skill 217 for practical, enterprise-ready outcomes.",40,0.398
SKL00218,HR Skill 218,HR,Intermediate,"Competency in HR Skill 218 for practical, enterprise-ready outcomes.",42,0.238
SKL00219,Full Stack Skill 219,Full Stack,Beginner,"Competency in Full Stack Skill 219 for practical, enterprise-ready outcomes.",89,0.939
SKL00220,Manufacturing Skill 220,Manufacturing,Advanced,"Competency in Manufacturing Skill 220 for practical, enterprise-ready outcomes.",71,0.811
SKL00221,Healthcare Skill 221,Healthcare,Advanced,"Competency in Healthcare Skill 221 for practical, enterprise-ready outcomes.",44,0.806
SKL00222,Full Stack Skill 222,Full Stack,Intermediate,"Competency in Full Stack Skill 222 for practical, enterprise-ready outcomes.",51,0.569
SKL00223,Sales Skill 223,Sales,Intermediate,"Competency in Sales Skill 223 for practical, enterprise-ready outcomes.",66,0.589
SKL00224,Leadership Skill 224,Leadership,Beginner,"Competency in Leadership Skill 224 for practical, enterprise-ready outcomes.",62,0.299
SKL00225,Cybersecurity Skill 225,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 225 for practical, enterprise-ready outcomes.",61,0.425
SKL00226,Cybersecurity Skill 226,Cybersecurity,Expert,"Competency in Cybersecurity Skill 226 for practical, enterprise-ready outcomes.",75,0.841
SKL00227,Governance Skill 227,Governance,Beginner,"Competency in Governance Skill 227 for practical, enterprise-ready outcomes.",47,0.702
SKL00228,Finance Skill 228,Finance,Intermediate,"Competency in Finance Skill 228 for practical, enterprise-ready outcomes.",97,0.678
SKL00229,Project Management Skill 229,Project Management,Intermediate,"Competency in Project Management Skill 229 for practical, enterprise-ready outcomes.",42,0.714
SKL00230,Full Stack Skill 230,Full Stack,Expert,"Competency in Full Stack Skill 230 for practical, enterprise-ready outcomes.",98,0.817
SKL00231,Data Science Skill 231,Data Science,Expert,"Competency in Data Science Skill 231 for practical, enterprise-ready outcomes.",56,0.586
SKL00232,Digital Marketing Skill 232,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 232 for practical, enterprise-ready outcomes.",98,0.565
SKL00233,Sales Skill 233,Sales,Advanced,"Competency in Sales Skill 233 for practical, enterprise-ready outcomes.",72,0.823
SKL00234,Finance Skill 234,Finance,Expert,"Competency in Finance Skill 234 for practical, enterprise-ready outcomes.",42,0.367
SKL00235,Governance Skill 235,Governance,Intermediate,"Competency in Governance Skill 235 for practical, enterprise-ready outcomes.",60,0.563
SKL00236,Data Science Skill 236,Data Science,Intermediate,"Competency in Data Science Skill 236 for practical, enterprise-ready outcomes.",89,0.584
SKL00237,AI Skill 237,AI,Beginner,"Competency in AI Skill 237 for practical, enterprise-ready outcomes.",53,0.703
SKL00238,Sales Skill 238,Sales,Intermediate,"Competency in Sales Skill 238 for practical, enterprise-ready outcomes.",95,0.717
SKL00239,Quality Management Skill 239,Quality Management,Beginner,"Competency in Quality Management Skill 239 for practical, enterprise-ready outcomes.",53,0.584
SKL00240,HR Skill 240,HR,Expert,"Competency in HR Skill 240 for practical, enterprise-ready outcomes.",81,0.835
SKL00241,Data Science Skill 241,Data Science,Intermediate,"Competency in Data Science Skill 241 for practical, enterprise-ready outcomes.",41,0.513
SKL00242,Full Stack Skill 242,Full Stack,Beginner,"Competency in Full Stack Skill 242 for practical, enterprise-ready outcomes.",45,0.166
SKL00243,Cloud Skill 243,Cloud,Advanced,"Competency in Cloud Skill 243 for practical, enterprise-ready outcomes.",75,0.163
SKL00244,Quality Management Skill 244,Quality Management,Intermediate,"Competency in Quality Management Skill 244 for practical, enterprise-ready outcomes.",98,0.333
SKL00245,Leadership Skill 245,Leadership,Expert,"Competency in Leadership Skill 245 for practical, enterprise-ready outcomes.",80,0.464
SKL00246,Full Stack Skill 246,Full Stack,Beginner,"Competency in Full Stack Skill 246 for practical, enterprise-ready outcomes.",64,0.706
SKL00247,Healthcare Skill 247,Healthcare,Beginner,"Competency in Healthcare Skill 247 for practical, enterprise-ready outcomes.",81,0.748
SKL00248,Data Science Skill 248,Data Science,Beginner,"Competency in Data Science Skill 248 for practical, enterprise-ready outcomes.",84,0.863
SKL00249,Full Stack Skill 249,Full Stack,Beginner,"Competency in Full Stack Skill 249 for practical, enterprise-ready outcomes.",58,0.808
SKL00250,Digital Marketing Skill 250,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 250 for practical, enterprise-ready outcomes.",58,0.789
SKL00251,Finance Skill 251,Finance,Expert,"Competency in Finance Skill 251 for practical, enterprise-ready outcomes.",65,0.84
SKL00252,AI Skill 252,AI,Expert,"Competency in AI Skill 252 for practical, enterprise-ready outcomes.",50,0.58
SKL00253,Cloud Skill 253,Cloud,Expert,"Competency in Cloud Skill 253 for practical, enterprise-ready outcomes.",90,0.818
SKL00254,Healthcare Skill 254,Healthcare,Advanced,"Competency in Healthcare Skill 254 for practical, enterprise-ready outcomes.",80,0.23
SKL00255,Governance Skill 255,Governance,Advanced,"Competency in Governance Skill 255 for practical, enterprise-ready outcomes.",100,0.11
SKL00256,Quality Management Skill 256,Quality Management,Intermediate,"Competency in Quality Management Skill 256 for practical, enterprise-ready outcomes.",47,0.138
SKL00257,Manufacturing Skill 257,Manufacturing,Expert,"Competency in Manufacturing Skill 257 for practical, enterprise-ready outcomes.",74,0.593
SKL00258,Data Science Skill 258,Data Science,Advanced,"Competency in Data Science Skill 258 for practical, enterprise-ready outcomes.",53,0.773
SKL00259,Project Management Skill 259,Project Management,Advanced,"Competency in Project Management Skill 259 for practical, enterprise-ready outcomes.",53,0.471
SKL00260,Governance Skill 260,Governance,Intermediate,"Competency in Governance Skill 260 for practical, enterprise-ready outcomes.",50,0.266
SKL00261,Manufacturing Skill 261,Manufacturing,Advanced,"Competency in Manufacturing Skill 261 for practical, enterprise-ready outcomes.",52,0.203
SKL00262,Governance Skill 262,Governance,Beginner,"Competency in Governance Skill 262 for practical, enterprise-ready outcomes.",94,0.776
SKL00263,Healthcare Skill 263,Healthcare,Expert,"Competency in Healthcare Skill 263 for practical, enterprise-ready outcomes.",81,0.595
SKL00264,Digital Marketing Skill 264,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 264 for practical, enterprise-ready outcomes.",56,0.188
SKL00265,HR Skill 265,HR,Expert,"Competency in HR Skill 265 for practical, enterprise-ready outcomes.",100,0.398
SKL00266,Cloud Skill 266,Cloud,Intermediate,"Competency in Cloud Skill 266 for practical, enterprise-ready outcomes.",46,0.357
SKL00267,Data Science Skill 267,Data Science,Intermediate,"Competency in Data Science Skill 267 for practical, enterprise-ready outcomes.",60,0.537
SKL00268,Full Stack Skill 268,Full Stack,Advanced,"Competency in Full Stack Skill 268 for practical, enterprise-ready outcomes.",84,0.626
SKL00269,Manufacturing Skill 269,Manufacturing,Advanced,"Competency in Manufacturing Skill 269 for practical, enterprise-ready outcomes.",91,0.385
SKL00270,Leadership Skill 270,Leadership,Intermediate,"Competency in Leadership Skill 270 for practical, enterprise-ready outcomes.",40,0.382
SKL00271,Sales Skill 271,Sales,Intermediate,"Competency in Sales Skill 271 for practical, enterprise-ready outcomes.",85,0.766
SKL00272,Leadership Skill 272,Leadership,Advanced,"Competency in Leadership Skill 272 for practical, enterprise-ready outcomes.",93,0.424
SKL00273,Governance Skill 273,Governance,Advanced,"Competency in Governance Skill 273 for practical, enterprise-ready outcomes.",96,0.532
SKL00274,Finance Skill 274,Finance,Advanced,"Competency in Finance Skill 274 for practical, enterprise-ready outcomes.",89,0.375
SKL00275,Healthcare Skill 275,Healthcare,Beginner,"Competency in Healthcare Skill 275 for practical, enterprise-ready outcomes.",51,0.681
SKL00276,Data Science Skill 276,Data Science,Advanced,"Competency in Data Science Skill 276 for practical, enterprise-ready outcomes.",94,0.844
SKL00277,Project Management Skill 277,Project Management,Intermediate,"Competency in Project Management Skill 277 for practical, enterprise-ready outcomes.",56,0.76
SKL00278,Governance Skill 278,Governance,Beginner,"Competency in Governance Skill 278 for practical, enterprise-ready outcomes.",86,0.168
SKL00279,AI Skill 279,AI,Beginner,"Competency in AI Skill 279 for practical, enterprise-ready outcomes.",92,0.624
SKL00280,Leadership Skill 280,Leadership,Intermediate,"Competency in Leadership Skill 280 for practical, enterprise-ready outcomes.",98,0.133
SKL00281,Digital Marketing Skill 281,Digital Marketing,Expert,"Competency in Digital Marketing Skill 281 for practical, enterprise-ready outcomes.",81,0.798
SKL00282,Full Stack Skill 282,Full Stack,Expert,"Competency in Full Stack Skill 282 for practical, enterprise-ready outcomes.",54,0.902
SKL00283,Manufacturing Skill 283,Manufacturing,Advanced,"Competency in Manufacturing Skill 283 for practical, enterprise-ready outcomes.",48,0.518
SKL00284,Healthcare Skill 284,Healthcare,Beginner,"Competency in Healthcare Skill 284 for practical, enterprise-ready outcomes.",65,0.427
SKL00285,AI Skill 285,AI,Intermediate,"Competency in AI Skill 285 for practical, enterprise-ready outcomes.",94,0.968
SKL00286,Manufacturing Skill 286,Manufacturing,Intermediate,"Competency in Manufacturing Skill 286 for practical, enterprise-ready outcomes.",88,0.563
SKL00287,Finance Skill 287,Finance,Intermediate,"Competency in Finance Skill 287 for practical, enterprise-ready outcomes.",51,0.61
SKL00288,Manufacturing Skill 288,Manufacturing,Intermediate,"Competency in Manufacturing Skill 288 for practical, enterprise-ready outcomes.",87,0.759
SKL00289,Full Stack Skill 289,Full Stack,Beginner,"Competency in Full Stack Skill 289 for practical, enterprise-ready outcomes.",54,0.785
SKL00290,Cybersecurity Skill 290,Cybersecurity,Beginner,"Competency in Cybersecurity Skill 290 for practical, enterprise-ready outcomes.",56,0.432
SKL00291,AI Skill 291,AI,Intermediate,"Competency in AI Skill 291 for practical, enterprise-ready outcomes.",73,0.917
SKL00292,Full Stack Skill 292,Full Stack,Expert,"Competency in Full Stack Skill 292 for practical, enterprise-ready outcomes.",70,0.926
SKL00293,Project Management Skill 293,Project Management,Beginner,"Competency in Project Management Skill 293 for practical, enterprise-ready outcomes.",42,0.983
SKL00294,Full Stack Skill 294,Full Stack,Beginner,"Competency in Full Stack Skill 294 for practical, enterprise-ready outcomes.",85,0.972
SKL00295,Governance Skill 295,Governance,Advanced,"Competency in Governance Skill 295 for practical, enterprise-ready outcomes.",93,0.768
SKL00296,Manufacturing Skill 296,Manufacturing,Intermediate,"Competency in Manufacturing Skill 296 for practical, enterprise-ready outcomes.",64,0.688
SKL00297,Full Stack Skill 297,Full Stack,Beginner,"Competency in Full Stack Skill 297 for practical, enterprise-ready outcomes.",73,0.326
SKL00298,Project Management Skill 298,Project Management,Intermediate,"Competency in Project Management Skill 298 for practical, enterprise-ready outcomes.",73,0.465
SKL00299,Quality Management Skill 299,Quality Management,Advanced,"Competency in Quality Management Skill 299 for practical, enterprise-ready outcomes.",71,0.813
SKL00300,Project Management Skill 300,Project Management,Beginner,"Competency in Project Management Skill 300 for practical, enterprise-ready outcomes.",72,0.894
SKL00301,Finance Skill 301,Finance,Intermediate,"Competency in Finance Skill 301 for practical, enterprise-ready outcomes.",54,0.169
SKL00302,Governance Skill 302,Governance,Advanced,"Competency in Governance Skill 302 for practical, enterprise-ready outcomes.",53,0.235
SKL00303,Cloud Skill 303,Cloud,Advanced,"Competency in Cloud Skill 303 for practical, enterprise-ready outcomes.",78,0.746
SKL00304,Data Science Skill 304,Data Science,Intermediate,"Competency in Data Science Skill 304 for practical, enterprise-ready outcomes.",66,0.83
SKL00305,HR Skill 305,HR,Beginner,"Competency in HR Skill 305 for practical, enterprise-ready outcomes.",70,0.708
SKL00306,Finance Skill 306,Finance,Intermediate,"Competency in Finance Skill 306 for practical, enterprise-ready outcomes.",77,0.245
SKL00307,Quality Management Skill 307,Quality Management,Expert,"Competency in Quality Management Skill 307 for practical, enterprise-ready outcomes.",41,0.319
SKL00308,Cloud Skill 308,Cloud,Intermediate,"Competency in Cloud Skill 308 for practical, enterprise-ready outcomes.",48,0.667
SKL00309,AI Skill 309,AI,Intermediate,"Competency in AI Skill 309 for practical, enterprise-ready outcomes.",43,0.25
SKL00310,Project Management Skill 310,Project Management,Intermediate,"Competency in Project Management Skill 310 for practical, enterprise-ready outcomes.",73,0.962
SKL00311,Manufacturing Skill 311,Manufacturing,Beginner,"Competency in Manufacturing Skill 311 for practical, enterprise-ready outcomes.",96,0.748
SKL00312,Governance Skill 312,Governance,Advanced,"Competency in Governance Skill 312 for practical, enterprise-ready outcomes.",100,0.177
SKL00313,Finance Skill 313,Finance,Expert,"Competency in Finance Skill 313 for practical, enterprise-ready outcomes.",95,0.534
SKL00314,Cybersecurity Skill 314,Cybersecurity,Expert,"Competency in Cybersecurity Skill 314 for practical, enterprise-ready outcomes.",78,0.228
SKL00315,Manufacturing Skill 315,Manufacturing,Intermediate,"Competency in Manufacturing Skill 315 for practical, enterprise-ready outcomes.",79,0.694
SKL00316,Digital Marketing Skill 316,Digital Marketing,Intermediate,"Competency in Digital Marketing Skill 316 for practical, enterprise-ready outcomes.",86,0.717
SKL00317,Project Management Skill 317,Project Management,Expert,"Competency in Project Management Skill 317 for practical, enterprise-ready outcomes.",78,0.632
SKL00318,Cybersecurity Skill 318,Cybersecurity,Expert,"Competency in Cybersecurity Skill 318 for practical, enterprise-ready outcomes.",64,0.219
SKL00319,AI Skill 319,AI,Intermediate,"Competency in AI Skill 319 for practical, enterprise-ready outcomes.",73,0.874
SKL00320,Healthcare Skill 320,Healthcare,Expert,"Competency in Healthcare Skill 320 for practical, enterprise-ready outcomes.",92,0.235
SKL00321,Data Science Skill 321,Data Science,Intermediate,"Competency in Data Science Skill 321 for practical, enterprise-ready outcomes.",70,0.911
SKL00322,Manufacturing Skill 322,Manufacturing,Beginner,"Competency in Manufacturing Skill 322 for practical, enterprise-ready outcomes.",96,0.805
SKL00323,Healthcare Skill 323,Healthcare,Beginner,"Competency in Healthcare Skill 323 for practical, enterprise-ready outcomes.",45,0.534
SKL00324,Cloud Skill 324,Cloud,Beginner,"Competency in Cloud Skill 324 for practical, enterprise-ready outcomes.",97,0.944
SKL00325,Governance Skill 325,Governance,Expert,"Competency in Governance Skill 325 for practical, enterprise-ready outcomes.",73,0.479
SKL00326,Quality Management Skill 326,Quality Management,Beginner,"Competency in Quality Management Skill 326 for practical, enterprise-ready outcomes.",84,0.577
SKL00327,Cybersecurity Skill 327,Cybersecurity,Expert,"Competency in Cybersecurity Skill 327 for practical, enterprise-ready outcomes.",90,0.792
SKL00328,Full Stack Skill 328,Full Stack,Beginner,"Competency in Full Stack Skill 328 for practical, enterprise-ready outcomes.",67,0.22
SKL00329,Finance Skill 329,Finance,Intermediate,"Competency in Finance Skill 329 for practical, enterprise-ready outcomes.",98,0.873
SKL00330,Digital Marketing Skill 330,Digital Marketing,Expert,"Competency in Digital Marketing Skill 330 for practical, enterprise-ready outcomes.",56,0.27
SKL00331,HR Skill 331,HR,Beginner,"Competency in HR Skill 331 for practical, enterprise-ready outcomes.",76,0.57
SKL00332,Healthcare Skill 332,Healthcare,Beginner,"Competency in Healthcare Skill 332 for practical, enterprise-ready outcomes.",64,0.689
SKL00333,HR Skill 333,HR,Advanced,"Competency in HR Skill 333 for practical, enterprise-ready outcomes.",66,0.426
SKL00334,Cloud Skill 334,Cloud,Expert,"Competency in Cloud Skill 334 for practical, enterprise-ready outcomes.",81,0.627
SKL00335,Digital Marketing Skill 335,Digital Marketing,Expert,"Competency in Digital Marketing Skill 335 for practical, enterprise-ready outcomes.",76,0.429
SKL00336,Digital Marketing Skill 336,Digital Marketing,Expert,"Competency in Digital Marketing Skill 336 for practical, enterprise-ready outcomes.",88,0.283
SKL00337,Healthcare Skill 337,Healthcare,Expert,"Competency in Healthcare Skill 337 for practical, enterprise-ready outcomes.",51,0.433
SKL00338,Healthcare Skill 338,Healthcare,Expert,"Competency in Healthcare Skill 338 for practical, enterprise-ready outcomes.",56,0.99
SKL00339,Manufacturing Skill 339,Manufacturing,Advanced,"Competency in Manufacturing Skill 339 for practical, enterprise-ready outcomes.",89,0.735
SKL00340,HR Skill 340,HR,Intermediate,"Competency in HR Skill 340 for practical, enterprise-ready outcomes.",94,0.877
SKL00341,Data Science Skill 341,Data Science,Intermediate,"Competency in Data Science Skill 341 for practical, enterprise-ready outcomes.",68,0.805
SKL00342,Cloud Skill 342,Cloud,Beginner,"Competency in Cloud Skill 342 for practical, enterprise-ready outcomes.",53,0.558
SKL00343,Sales Skill 343,Sales,Advanced,"Competency in Sales Skill 343 for practical, enterprise-ready outcomes.",91,0.596
SKL00344,HR Skill 344,HR,Beginner,"Competency in HR Skill 344 for practical, enterprise-ready outcomes.",50,0.45
SKL00345,Governance Skill 345,Governance,Beginner,"Competency in Governance Skill 345 for practical, enterprise-ready outcomes.",91,0.182
SKL00346,Cloud Skill 346,Cloud,Expert,"Competency in Cloud Skill 346 for practical, enterprise-ready outcomes.",99,0.64
SKL00347,Data Science Skill 347,Data Science,Beginner,"Competency in Data Science Skill 347 for practical, enterprise-ready outcomes.",56,0.3
SKL00348,Data Science Skill 348,Data Science,Beginner,"Competency in Data Science Skill 348 for practical, enterprise-ready outcomes.",86,0.446
SKL00349,Leadership Skill 349,Leadership,Advanced,"Competency in Leadership Skill 349 for practical, enterprise-ready outcomes.",85,0.967
SKL00350,AI Skill 350,AI,Intermediate,"Competency in AI Skill 350 for practical, enterprise-ready outcomes.",80,0.545
SKL00351,AI Skill 351,AI,Intermediate,"Competency in AI Skill 351 for practical, enterprise-ready outcomes.",94,0.691
SKL00352,Sales Skill 352,Sales,Advanced,"Competency in Sales Skill 352 for practical, enterprise-ready outcomes.",52,0.13
SKL00353,Manufacturing Skill 353,Manufacturing,Intermediate,"Competency in Manufacturing Skill 353 for practical, enterprise-ready outcomes.",79,0.253
SKL00354,AI Skill 354,AI,Advanced,"Competency in AI Skill 354 for practical, enterprise-ready outcomes.",55,0.69
SKL00355,Cloud Skill 355,Cloud,Beginner,"Competency in Cloud Skill 355 for practical, enterprise-ready outcomes.",57,0.802
SKL00356,Full Stack Skill 356,Full Stack,Expert,"Competency in Full Stack Skill 356 for practical, enterprise-ready outcomes.",65,0.627
SKL00357,Healthcare Skill 357,Healthcare,Beginner,"Competency in Healthcare Skill 357 for practical, enterprise-ready outcomes.",87,0.733
SKL00358,Project Management Skill 358,Project Management,Beginner,"Competency in Project Management Skill 358 for practical, enterprise-ready outcomes.",75,0.356
SKL00359,Quality Management Skill 359,Quality Management,Advanced,"Competency in Quality Management Skill 359 for practical, enterprise-ready outcomes.",62,0.967
SKL00360,Digital Marketing Skill 360,Digital Marketing,Intermediate,"Competency in Digital Marketing Skill 360 for practical, enterprise-ready outcomes.",78,0.967
SKL00361,Finance Skill 361,Finance,Expert,"Competency in Finance Skill 361 for practical, enterprise-ready outcomes.",76,0.104
SKL00362,Cloud Skill 362,Cloud,Expert,"Competency in Cloud Skill 362 for practical, enterprise-ready outcomes.",72,0.196
SKL00363,Data Science Skill 363,Data Science,Advanced,"Competency in Data Science Skill 363 for practical, enterprise-ready outcomes.",61,0.952
SKL00364,Sales Skill 364,Sales,Advanced,"Competency in Sales Skill 364 for practical, enterprise-ready outcomes.",96,0.584
SKL00365,Sales Skill 365,Sales,Advanced,"Competency in Sales Skill 365 for practical, enterprise-ready outcomes.",84,0.498
SKL00366,Leadership Skill 366,Leadership,Expert,"Competency in Leadership Skill 366 for practical, enterprise-ready outcomes.",89,0.319
SKL00367,Full Stack Skill 367,Full Stack,Expert,"Competency in Full Stack Skill 367 for practical, enterprise-ready outcomes.",83,0.515
SKL00368,Manufacturing Skill 368,Manufacturing,Beginner,"Competency in Manufacturing Skill 368 for practical, enterprise-ready outcomes.",70,0.205
SKL00369,Data Science Skill 369,Data Science,Expert,"Competency in Data Science Skill 369 for practical, enterprise-ready outcomes.",80,0.81
SKL00370,Cybersecurity Skill 370,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 370 for practical, enterprise-ready outcomes.",91,0.384
SKL00371,Full Stack Skill 371,Full Stack,Beginner,"Competency in Full Stack Skill 371 for practical, enterprise-ready outcomes.",84,0.849
SKL00372,Cybersecurity Skill 372,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 372 for practical, enterprise-ready outcomes.",45,0.459
SKL00373,HR Skill 373,HR,Advanced,"Competency in HR Skill 373 for practical, enterprise-ready outcomes.",44,0.599
SKL00374,Cloud Skill 374,Cloud,Expert,"Competency in Cloud Skill 374 for practical, enterprise-ready outcomes.",60,0.418
SKL00375,Project Management Skill 375,Project Management,Advanced,"Competency in Project Management Skill 375 for practical, enterprise-ready outcomes.",51,0.952
SKL00376,Governance Skill 376,Governance,Intermediate,"Competency in Governance Skill 376 for practical, enterprise-ready outcomes.",71,0.763
SKL00377,Cybersecurity Skill 377,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 377 for practical, enterprise-ready outcomes.",95,0.339
SKL00378,Cybersecurity Skill 378,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 378 for practical, enterprise-ready outcomes.",93,0.325
SKL00379,Manufacturing Skill 379,Manufacturing,Advanced,"Competency in Manufacturing Skill 379 for practical, enterprise-ready outcomes.",49,0.801
SKL00380,Data Science Skill 380,Data Science,Beginner,"Competency in Data Science Skill 380 for practical, enterprise-ready outcomes.",83,0.96
SKL00381,Finance Skill 381,Finance,Beginner,"Competency in Finance Skill 381 for practical, enterprise-ready outcomes.",88,0.871
SKL00382,AI Skill 382,AI,Expert,"Competency in AI Skill 382 for practical, enterprise-ready outcomes.",63,0.659
SKL00383,Finance Skill 383,Finance,Advanced,"Competency in Finance Skill 383 for practical, enterprise-ready outcomes.",71,0.265
SKL00384,Sales Skill 384,Sales,Advanced,"Competency in Sales Skill 384 for practical, enterprise-ready outcomes.",65,0.3
SKL00385,Manufacturing Skill 385,Manufacturing,Intermediate,"Competency in Manufacturing Skill 385 for practical, enterprise-ready outcomes.",43,0.573
SKL00386,Leadership Skill 386,Leadership,Expert,"Competency in Leadership Skill 386 for practical, enterprise-ready outcomes.",100,0.587
SKL00387,Healthcare Skill 387,Healthcare,Advanced,"Competency in Healthcare Skill 387 for practical, enterprise-ready outcomes.",65,0.874
SKL00388,Sales Skill 388,Sales,Intermediate,"Competency in Sales Skill 388 for practical, enterprise-ready outcomes.",69,0.979
SKL00389,HR Skill 389,HR,Expert,"Competency in HR Skill 389 for practical, enterprise-ready outcomes.",60,0.72
SKL00390,AI Skill 390,AI,Intermediate,"Competency in AI Skill 390 for practical, enterprise-ready outcomes.",64,0.623
SKL00391,Full Stack Skill 391,Full Stack,Advanced,"Competency in Full Stack Skill 391 for practical, enterprise-ready outcomes.",79,0.876
SKL00392,Cloud Skill 392,Cloud,Advanced,"Competency in Cloud Skill 392 for practical, enterprise-ready outcomes.",55,0.342
SKL00393,Manufacturing Skill 393,Manufacturing,Advanced,"Competency in Manufacturing Skill 393 for practical, enterprise-ready outcomes.",63,0.266
SKL00394,Leadership Skill 394,Leadership,Intermediate,"Competency in Leadership Skill 394 for practical, enterprise-ready outcomes.",66,0.731
SKL00395,Full Stack Skill 395,Full Stack,Advanced,"Competency in Full Stack Skill 395 for practical, enterprise-ready outcomes.",94,0.461
SKL00396,Finance Skill 396,Finance,Intermediate,"Competency in Finance Skill 396 for practical, enterprise-ready outcomes.",76,0.218
SKL00397,Manufacturing Skill 397,Manufacturing,Intermediate,"Competency in Manufacturing Skill 397 for practical, enterprise-ready outcomes.",92,0.19
SKL00398,Digital Marketing Skill 398,Digital Marketing,Intermediate,"Competency in Digital Marketing Skill 398 for practical, enterprise-ready outcomes.",75,0.489
SKL00399,Leadership Skill 399,Leadership,Intermediate,"Competency in Leadership Skill 399 for practical, enterprise-ready outcomes.",49,0.82
SKL00400,HR Skill 400,HR,Intermediate,"Competency in HR Skill 400 for practical, enterprise-ready outcomes.",70,0.825
SKL00401,Cloud Skill 401,Cloud,Expert,"Competency in Cloud Skill 401 for practical, enterprise-ready outcomes.",71,0.221
SKL00402,Project Management Skill 402,Project Management,Advanced,"Competency in Project Management Skill 402 for practical, enterprise-ready outcomes.",90,0.538
SKL00403,Digital Marketing Skill 403,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 403 for practical, enterprise-ready outcomes.",65,0.189
SKL00404,Cloud Skill 404,Cloud,Beginner,"Competency in Cloud Skill 404 for practical, enterprise-ready outcomes.",53,0.832
SKL00405,Finance Skill 405,Finance,Beginner,"Competency in Finance Skill 405 for practical, enterprise-ready outcomes.",68,0.77
SKL00406,Digital Marketing Skill 406,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 406 for practical, enterprise-ready outcomes.",63,0.604
SKL00407,Project Management Skill 407,Project Management,Advanced,"Competency in Project Management Skill 407 for practical, enterprise-ready outcomes.",62,0.118
SKL00408,Data Science Skill 408,Data Science,Advanced,"Competency in Data Science Skill 408 for practical, enterprise-ready outcomes.",95,0.712
SKL00409,Manufacturing Skill 409,Manufacturing,Intermediate,"Competency in Manufacturing Skill 409 for practical, enterprise-ready outcomes.",76,0.618
SKL00410,Governance Skill 410,Governance,Intermediate,"Competency in Governance Skill 410 for practical, enterprise-ready outcomes.",89,0.356
SKL00411,Full Stack Skill 411,Full Stack,Expert,"Competency in Full Stack Skill 411 for practical, enterprise-ready outcomes.",89,0.763
SKL00412,Project Management Skill 412,Project Management,Beginner,"Competency in Project Management Skill 412 for practical, enterprise-ready outcomes.",64,0.652
SKL00413,Finance Skill 413,Finance,Intermediate,"Competency in Finance Skill 413 for practical, enterprise-ready outcomes.",95,0.251
SKL00414,Sales Skill 414,Sales,Advanced,"Competency in Sales Skill 414 for practical, enterprise-ready outcomes.",66,0.668
SKL00415,Manufacturing Skill 415,Manufacturing,Expert,"Competency in Manufacturing Skill 415 for practical, enterprise-ready outcomes.",94,0.916
SKL00416,Data Science Skill 416,Data Science,Intermediate,"Competency in Data Science Skill 416 for practical, enterprise-ready outcomes.",61,0.305
SKL00417,Full Stack Skill 417,Full Stack,Advanced,"Competency in Full Stack Skill 417 for practical, enterprise-ready outcomes.",85,0.341
SKL00418,Governance Skill 418,Governance,Expert,"Competency in Governance Skill 418 for practical, enterprise-ready outcomes.",57,0.899
SKL00419,Sales Skill 419,Sales,Advanced,"Competency in Sales Skill 419 for practical, enterprise-ready outcomes.",87,0.628
SKL00420,Finance Skill 420,Finance,Expert,"Competency in Finance Skill 420 for practical, enterprise-ready outcomes.",50,0.265
SKL00421,AI Skill 421,AI,Intermediate,"Competency in AI Skill 421 for practical, enterprise-ready outcomes.",86,0.311
SKL00422,Digital Marketing Skill 422,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 422 for practical, enterprise-ready outcomes.",53,0.25
SKL00423,Data Science Skill 423,Data Science,Beginner,"Competency in Data Science Skill 423 for practical, enterprise-ready outcomes.",44,0.943
SKL00424,Finance Skill 424,Finance,Beginner,"Competency in Finance Skill 424 for practical, enterprise-ready outcomes.",41,0.794
SKL00425,Healthcare Skill 425,Healthcare,Beginner,"Competency in Healthcare Skill 425 for practical, enterprise-ready outcomes.",46,0.336
SKL00426,Cloud Skill 426,Cloud,Beginner,"Competency in Cloud Skill 426 for practical, enterprise-ready outcomes.",81,0.938
SKL00427,Leadership Skill 427,Leadership,Advanced,"Competency in Leadership Skill 427 for practical, enterprise-ready outcomes.",54,0.323
SKL00428,Digital Marketing Skill 428,Digital Marketing,Expert,"Competency in Digital Marketing Skill 428 for practical, enterprise-ready outcomes.",80,0.214
SKL00429,Healthcare Skill 429,Healthcare,Intermediate,"Competency in Healthcare Skill 429 for practical, enterprise-ready outcomes.",41,0.132
